disease_name,icd_code,base_danger_level,communicable,avg_severity
AIDS,B24,High,yes,5.25
"Acute myocardial infarction, unspecified",I219,High,no,4.8
Myocardial infarction type 2,I21A1,High,no,4.8
Non-ST elevation (NSTEMI) myocardial infarction,I214,High,no,4.8
Other myocardial infarction type,I21A9,High,no,4.8
ST elevation (STEMI) myocardial infarction of unsp site,I213,High,no,4.8
STEMI involving left anterior descending coronary artery,I2102,High,no,4.8
STEMI involving left circumflex coronary artery,I2121,High,no,4.8
STEMI involving left main coronary artery,I2101,High,no,4.8
STEMI involving oth coronary artery of anterior wall,I2109,High,no,4.8
STEMI involving oth coronary artery of inferior wall,I2119,High,no,4.8
STEMI involving oth sites,I2129,High,no,4.8
STEMI involving right coronary artery,I2111,High,no,4.8
Hepatitis E,B17.2,High,yes,4.77
Heart attack,I21.9,High,no,4.75
Pneumonia,J18.9,High,yes,4.73
Tuberculosis,A15.0,High,yes,4.69
Typhoid,A01.0,High,yes,4.55
Abdominal actinomycosis,A421,High,yes,4.5
"Acanthamebiasis, unspecified",B6010,High,yes,4.5
Actinomycetoma,B471,High,yes,4.5
"Actinomycosis, unspecified",A429,High,yes,4.5
Actinomycotic encephalitis,A4282,High,yes,4.5
Actinomycotic meningitis,A4281,High,yes,4.5
Actinomycotic sepsis,A427,High,yes,4.5
Active stage of trachoma,A711,High,yes,4.5
Acute amebic dysentery,A060,High,yes,4.5
Acute and fulminating melioidosis,A241,High,yes,4.5
Acute Chagas' disease with heart involvement,B570,High,yes,4.5
Acute Chagas' disease without heart involvement,B571,High,yes,4.5
Acute delta-(super) infection of hepatitis B carrier,B170,High,yes,4.5
Acute epidemic hemorrhagic conjunctivitis (enteroviral),B303,High,yes,4.5
Acute gastroenteropathy due to Norwalk agent,A0811,High,yes,4.5
Acute gastroenteropathy due to other small round viruses,A0819,High,yes,4.5
Acute hepatitis B w/o delta-agent and without hepatic coma,B169,High,yes,4.5
Acute hepatitis B with delta-agent with hepatic coma,B160,High,yes,4.5
Acute hepatitis B with delta-agent without hepatic coma,B161,High,yes,4.5
Acute hepatitis B without delta-agent with hepatic coma,B162,High,yes,4.5
Acute hepatitis C with hepatic coma,B1711,High,yes,4.5
Acute hepatitis C without hepatic coma,B1710,High,yes,4.5
Acute hepatitis E,B172,High,yes,4.5
Acute meningococcemia,A392,High,yes,4.5
Acute miliary tuberculosis of a single specified site,A190,High,yes,4.5
Acute miliary tuberculosis of multiple sites,A191,High,yes,4.5
"Acute miliary tuberculosis, unspecified",A192,High,yes,4.5
Acute nonparalytic poliomyelitis,A804,High,yes,4.5
"Acute paralytic poliomyelitis, unspecified",A8030,High,yes,4.5
"Acute paralytic poliomyelitis, vaccine-associated",A800,High,yes,4.5
"Acute paralytic poliomyelitis, wild virus, imported",A801,High,yes,4.5
"Acute paralytic poliomyelitis, wild virus, indigenous",A802,High,yes,4.5
"Acute poliomyelitis, unspecified",A809,High,yes,4.5
Acute pulmonary blastomycosis,B400,High,yes,4.5
Acute pulmonary coccidioidomycosis,B380,High,yes,4.5
Acute pulmonary histoplasmosis capsulati,B390,High,yes,4.5
"Acute viral hepatitis, unspecified",B179,High,yes,4.5
